Crop,Stage,Disease Name,Pathogen Type , Favorable Weather Conditions ,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
cotton,Seedling Establishment & Emergence,Spider Mite Early Infestation,Pest,"Hot, dusty conditions",Tiny pale speckling on young leaves,Limited leaf area = quick damage impact,"Maintain field moisture, miticide if needed","Webbing signs, leaf undersurface mite count"
cotton,Vegetative Growth,Alternaria Leaf Spot,Fungus,"Warm (25–30°C), humid, prolonged leaf wetness",Brown circular spots with concentric rings on leaves,Large leaf area + dense canopy increases humidity,"Foliar fungicides (Mancozeb), wider spacing, debris removal","Leaf wetness >10 hrs, RH >85%, lesion expansion rate"
cotton,Vegetative Growth,Cercospora Leaf Spot,Fungus,"High humidity, warm temps, intermittent rains",Small reddish-purple leaf spots turning grey in center,Rapid leaf expansion increases susceptible tissue,"Crop rotation, early fungicide spray if needed","NDVI drop in patches, humidity spikes, new spot counts"
cotton,Vegetative Growth,Bacterial Blight,Bacteria,"Warm + humid weather, rainfall splash","Water-soaked angular lesions, black spots on veins",New leaves have softer tissues prone to bacterial entry,"Resistant varieties, copper sprays, avoid overhead irrigation","RH >85%, frequent rainfall, lesion clustering"
cotton,Vegetative Growth,Fusarium Wilt,Fungus,"Warm soils (25–30°C), moisture stress","Leaf drooping, yellowing from base upward, unilateral wilt",Increased root mass provides more entry points,"Resistant varieties, avoid continuous cotton, soil amendments","Soil pathogen index, early chlorosis, NDVI streaks"
cotton,Vegetative Growth,Verticillium Wilt,Fungus,Cool–moderate temps (20–28°C); moist soils,"Interveinal chlorosis, leaf curling, stunting",Root wounds from early growth allow pathogen entry,"Crop rotation, organic matter improvement, resistant hybrids","Soil moisture variation, sentinel plant testing"
cotton,Vegetative Growth,Cotton Leaf Curl Virus (CLCuV),Virus (Whitefly-vectored),"Warm, dry spells; high whitefly activity","Curling, thickening of leaves, vein swelling",Increased leaf surface attracts more vectors,"Yellow sticky traps, vector control, remove alternate hosts","Whitefly count >5/leaf, dry weather + temperature rise"
cotton,Vegetative Growth,Myrothecium Leaf Spot,Fungus,"High humidity, leaf wetness, shaded fields",Circular spots with black fruiting bodies,Dense canopy traps moisture,"Remove infected debris, balanced irrigation","Leaf moisture >10 hrs, black sporulation on lesions"
cotton,Vegetative Growth,Spider Mites,Pest,"Hot, dry, dusty conditions","Yellow stippling, bronzing of leaves, fine webbing",More leaf area exposed to mites,"Maintain field moisture, acaricides if needed","Mite count per leaf, dry spell indicators"
cotton,Vegetative Growth,Thrips Injury,Pest,"Hot, dry weather","Leaf distortion, rough texture, silvery streaks",Tender new leaves formed continuously,Seed treatment or foliar insecticide,Thrips count >8 per leaf
cotton,Vegetative Growth,Root-Knot Nematode Damage,Nematode,"Sandy soils, warm temps","Stunting, pale leaves, poor vigor",Root system expands ? more nematode feeding points,"Nematicides, resistant hybrids","Soil nematode population, root gall sampling"
cotton,Square Formation (Squaring),"Square Drop due to Bollworm (Helicoverpa, Pink bollworm early feeding)",Pest (Lepidoptera),"Warm nights, dry spells, moderate humidity","Small bored holes in squares, premature square shedding",Young squares are tender and easily destroyed by larvae,"Pheromone traps, timely insecticide, Bt hybrids","Moth trap catch >8/night, square shed %, larvae per 20 plants"
cotton,Square Formation (Squaring),Jassid (Leafhopper) Injury,Pest,"Warm, dry conditions","Yellowing, downward curling, hopper burn on leaves ? square retention drops","Jassids reduce photosynthesis, weakening square development","Resistant varieties, neem oil, systemic insecticides","Jassid count >2 per leaf, leaf-edge yellowing"
cotton,Square Formation (Squaring),Whitefly ? Cotton Leaf Curl Virus (CLCuV),Virus (Vector-borne),"Warm, dry spells; high whitefly numbers","Curling, thickening of leaves, flower bud stunting",Active vector population + tender squares increase susceptibility,"Yellow sticky traps, vector control, rogue infected plants","Whitefly count >5/leaf, virus symptom clustering"
cotton,Square Formation (Squaring),Alternaria Leaf Spot,Fungus,"Humid, warm weather; leaf wetness",Brown concentric spots on leaves ? reduced photosynthesis,"High foliage density traps moisture, weakening squares","Preventive fungicides, residue removal","Lesion count, RH >85%, NDVI localized drop"
cotton,Square Formation (Squaring),Cercospora Leaf Spot,Fungus,"High humidity, intermittent rains","Purple-bordered round lesions, premature leaf drop",Fungal spread increases shading ? affects square nutrition,"Crop rotation, well-timed fungicides","Humidity spikes, canopy wetness duration"
cotton,Square Formation (Squaring),Bacterial Blight,Bacteria,"Warm + humid conditions, rainfall splash","Angular water-soaked lesions, black veins, bud infection",Rapid tissue expansion + bacteria entry via stomata,"Copper sprays, avoid overhead irrigation","Rainfall followed by high RH, lesion spread"
cotton,Square Formation (Squaring),Fusarium Wilt (Active Phase Begins),Fungus,"Warm soil, moisture stress","Sudden yellowing, wilting, square shedding",Plants use high energy for square development ? stress ? wilt,"Resistant varieties, soil health improvement","NDVI downward trend, soil pathogen load"
cotton,Square Formation (Squaring),Verticillium Wilt,Fungus,Cool–moderate temperatures,"Interveinal chlorosis, leaf curling, stunting ? poor square retention",Canopy expands fast; nutrient redistribution weakens immunity,"Crop rotation, avoid excessive irrigation","Soil moisture fluctuation, chlorosis mapping"
cotton,Square Formation (Squaring),Reddening of Cotton (Nutrient & Pest Stress),Physiological + Pest associated,"Low phosphorus, low Mg, whitefly outbreaks","Leaves turn reddish, small squares, shedding",Nutrient diversion towards developing squares,"Balanced fertilization, pest control","Leaf color index, nutrient mapping"
cotton,Square Formation (Squaring),Thrips Damage,Pest,"Hot, dry weather","Scarred squares, distorted leaf tissue",Tender squares attract thrips feeding,"Sticky traps, timely sprays",Thrips count >8/plant
cotton,Flowering,American Bollworm (Helicoverpa) Damage,Pest (Lepidoptera),"Warm nights, humid weather, moderate rainfall","Holes in flowers, shedding of flowers, damaged anthers and ovaries",Flowers are soft and easily penetrated by larvae,"Pheromone traps, Bt cotton, timely insecticide","Trap catch >8/night, flower drop %, larvae per 20 plants"
cotton,Flowering,Pink Bollworm (Early Flower Attack),Pest,"Warm, dry weather","Rosette flowers, silk webbing, internal feeding",Larvae bore into flowers ? reduces boll formation,"Pheromone traps, PBW mating disruption, timely sprays","Larvae count, rosette flower %"
cotton,Flowering,Whitefly ? Cotton Leaf Curl Virus (CLCuV),Virus (Vector-borne),"Warm, dry spells; low rainfall","Leaf curling, thickened veins, stunted new flowers",High vector activity & tender reproductive tissues,"Remove alternate hosts, vector control, sticky traps","Whitefly >5/leaf, CLCuV symptom mapping"
cotton,Flowering,Jassid Damage (Hopper Burn),Pest,"Hot, dry conditions",Leaf yellowing ? reduces nutrient flow to flowers,Photosynthesis reduction ? flower shedding,"Resistant varieties, neem extracts, systemic insecticide","Jassid >2/leaf, patchy yellowing"
cotton,Flowering,Thrips Injury,Pest,"Dry spells, hot climate","Browning of petals, scarred flowers",Thrips prefer soft flowering tissue,"Sticky traps, early sprays",Thrips >8/plant
cotton,Flowering,Alternaria Leaf Spot,Fungus,"Warm, humid, frequent dew",Circular brown leaf spots ? reduced photosynthesis,High leaf area + humidity creates ideal conditions,Preventive fungicide sprays,"RH >85%, leaf wetness >10 hrs"
cotton,Flowering,Cercospora Leaf Spot,Fungus,Humid + intermittent rain,"Grey centers, purple margins on leaves",Leaf loss during flowering reduces boll set,"Crop rotation, fungicides","NDVI drop, lesion expansion rate"
cotton,Flowering,Myrothecium Leaf Spot,Fungus,"Shaded, humid fields",circular spots with black fruiting bodies,Dense canopy at flowering traps moisture,"Improve aeration, fungicide",Leaf moisture duration
cotton,Flowering,Bacterial Blight,Bacteria,"Rainfall splash, warm humid weather",Angular leaf lesions; flower infection causes shedding,Flowers provide easy entry routes,"Copper sprays, avoid overhead irrigation","Humidity >85%, new lesion spots"
cotton,Flowering,Fusarium Wilt,Fungus,"Warm soils, drought stress","Wilt from base upward, yellowing, flower drop",High energy demand at flowering ? stress weakens immunity,"Resistant cultivars, soil health","NDVI decline, soil pathogen index"
cotton,Flowering,Verticillium Wilt,Fungus,Cool–moderate temps,"Interveinal chlorosis, leaf curling, weak flowering",Cool spells during flowering increase wilt activity,"Crop rotation, maintain soil moisture","Chlorosis mapping, weather cooling"
cotton,Flowering,Reddening of Cotton (Physiological / Nutritional Disorder),"Nutrient disorder (P, Mg deficiency)","Low soil fertility, pest stress","Leaves turn red/purple, flower drop",High nutrient drain during flowering,Balanced fertilization,"Leaf color index, nutrient status"
cotton,Boll Formation,Pink Bollworm (Major Pest in Boll Formation),Pest (Lepidoptera),"Warm, dry weather","Entry holes in bolls, internal feeding, lint sticking",Newly formed bolls are soft ? larvae bore easily,"Pheromone traps, mating disruption, timely sprays","PBW trap catch >8/night, affected boll %, larvae count"
cotton,Boll Formation,American Bollworm (Helicoverpa),Pest,"Warm nights, moderate humidity","Holes on boll surface, shedding of immature bolls",Soft boll tissues highly vulnerable,"Bt cotton, insecticide rotation, pheromone traps","Larvae per 20 plants, flower/boll drop %"
cotton,Boll Formation,Spotted Bollworm,Pest,Warm humid climate,"Boreholes, frass stuck to boll, internal damage",Young bolls not yet lignified,Trap-based monitoring & insecticides,"Moth catch, frass presence"
cotton,Boll Formation,Whitefly ? Cotton Leaf Curl Virus (CLCuV),Virus (Vector-borne),"Warm, dry spells","Curling of leaves, stunted boll growth",Virus reduces photosynthesis ? poor boll filling,"Vector control, remove alternate hosts","Whitefly >5/leaf, viral hotspot mapping"
cotton,Boll Formation,Jassid (Leafhopper),Pest,"Dry, warm climate",Hopper burn ? reduces boll setting,Photosynthesis reduction affects boll nutrition,"Resistant varieties, neem oil, systemics",Jassid >2/leaf
cotton,Boll Formation,"Boll Rot Complex (Xanthomonas, Colletotrichum, Diplodia)",Bacteria + Fungi,"High humidity, rains, long dew","Dark rot patches, premature boll opening, foul odor",Boll tissues remain moist ? ideal for pathogens,"Avoid tight spacing, fungicides, ensure aeration","RH >85%, rainfall frequency, rotten boll %"
cotton,Boll Formation,Anthracnose (Colletotrichum spp.),Fungus,Warm–wet conditions,"Sunken lesions on bolls, dark fungal spots",Bolls have high moisture content,"Seed treatment, field sanitation","Leaf wetness duration, infected boll count"
cotton,Boll Formation,Alternaria Leaf Spot,Fungus,Warm & humid periods,Concentric leaf spots ? reduced photosynthesis,Reduced foliage = poor boll filling,Preventive sprays,"Lesion expansion, RH spikes"
cotton,Boll Formation,Cercospora Leaf Spot,Fungus,Humid conditions,Grey spots with purple border,Weakens plant energy supply for boll formation,Fungicide sprays,"Humidity >85%, NDVI decline patches"
cotton,Boll Formation,Fusarium Wilt (Late Expression),Fungus,"Warm soil, water stress","Wilted branches, boll drop",Stressed plants more susceptible,"Resistant cultivars, soil management","Soil pathogen load, sudden wilting"
cotton,Boll Formation,Verticillium Wilt,Fungus,Cool/moderate weather,"Interveinal chlorosis, leaf curl",Reduces nutrients for boll growth,"Crop rotation, moisture management",Chlorosis mapping
cotton,Boll Formation,Reddening of Cotton (Physiological Issue),"Nutrient imbalance (Mg, P)","Low fertility, pest stress","Leaves red/purple, boll retention drops",Nutrient diversion to bolls increases deficiency risk,Balanced fertilization,"Leaf color index, soil nutrient mapping"
cotton,Boll Formation,Pink Bollworm (Major Threat),Pest (Lepidoptera),"Warm, dry weather","Boreholes, webbing inside bolls, unripe/hardened bolls",Bolls have soft lint & seeds ? ideal feeding habitat,"Pheromone traps, mating disruption, timely insecticides","PBW trap catch >8/night, infested boll %, larvae count"
cotton,Boll Formation,Spotted Bollworm / American Bollworm,Pest,Moderate humidity + warm temps,"Holes on boll surface, internal rotting, premature boll drop",Boll tissues still tender,"Bt cotton, insecticide rotation","Larvae per 20 plants, boll drop trends"
cotton,Boll Formation,"Boll Rot Complex (Xanthomonas, Colletotrichum, Diplodia, Aspergillus)",Bacteria + Fungi,"High humidity, rainfall, long dew periods","Soft rot, sticky lint, foul smell, premature opening",Moist enclosed boll microclimate ? ideal for pathogens,"Improve aeration, avoid overcrowding, fungicides","RH >85%, frequent dew, rotten boll %"
cotton,Boll Formation,Anthracnose,Fungus,Warm–wet conditions,"Sunken lesions on bolls, black fungal spots",Developing bolls have higher moisture,"Field sanitation, fungicides","Lesion count, leaf wetness duration"
cotton,Boll Formation,Alternaria Leaf Spot,Fungus,"Humid, warm climate",Concentric leaf spots ? reduced photosynthesis,Less photosynthesis ? poor boll filling,Preventive fungicides,"NDVI drop, lesion expansion rate"
cotton,Boll Formation,Cercospora Leaf Spot,Fungus,High humidity,Grey leaf spots ? early defoliation,Reduced canopy weakens boll development,"Rotation, fungicides","Humidity >85%, canopy thinning"
cotton,Boll Formation,Myrothecium Leaf Spot,Fungus,"Shaded, humid conditions",Black fruiting bodies in leaf lesions,Dense canopy traps moisture,Improve field aeration,Leaf moisture duration
cotton,Boll Formation,Whitefly ? Cotton Leaf Curl Virus (CLCuV),Virus (Vector-borne),"Warm, dry spells","Curling leaves, stunted boll growth",Virus reduces photosynthate allocation,Strong vector control,"Whitefly >5/leaf, viral patching"
cotton,Boll Formation,Jassid (Hopper Burn),Pest,"Dry, warm weather",Leaf yellowing ? reduced nutrient flow to bolls,Affects boll filling and boll weight,"Resistant varieties, insecticides",Jassid >2/leaf
cotton,Boll Formation,Spider Mites,Pest,"Hot, dry dusty conditions","Leaf bronzing, reduced boll filling",Mites suck sap ? plant stress ? boll size reduction,"Maintain moisture, acaricides","Mite count/leaf, dry spell intensity"
cotton,Boll Formation,Fusarium Wilt (Late symptoms),Fungus,"Warm soil, drought stress","Sudden branch wilt, boll shedding",Stress + pathogen load affect boll maturation,"Resistant varieties, soil health","Soil pathogen index, stressed patches"
cotton,Boll Formation,Verticillium Wilt,Fungus,Cool–moderate weather,"Interveinal chlorosis, leaf curl",Weakens plant’s nutrient supply for bolls,"Rotation, balanced irrigation",Chlorosis mapping
cotton,Boll Formation,Physiological Reddening (Nutrient Stress),Mg/P deficiency,"Low nutrient availability, pest pressure","Red-purple leaves, poor boll filling",High nutrient diversion to bolls ? deficiencies appear,"Balanced NPK, foliar Mg","Leaf color index, nutrient mapping"
cotton,Boll Opening & Maturity,"Boll Rot Complex (Xanthomonas, Colletotrichum, Diplodia, Aspergillus)",Bacteria + Fungi,"High humidity, intermittent rains, prolonged dew","Brown/black rot patches, sticky lint, foul smell",Open bolls expose lint ? easy infection,"Avoid irrigation during opening, maintain aeration, fungicides","RH >85%, rainfall events, rotten boll %"
cotton,Boll Opening & Maturity,"Fungal Staining (Aspergillus, Penicillium)",Fungus,"Humid weather, cloudy days, late rains",Yellow/brown stains on lint,Exposed lint absorbs moisture ? fungal growth,"Timely harvest, avoid late picking","Lint moisture %, rainy day count"
cotton,Boll Opening & Maturity,Alternaria Leaf Spot,Fungus,"Warm, humid periods","Leaf defoliation, reduced photosynthesis",Late defoliation reduces boll maturity & quality,Preventive fungicides,"Lesion expansion, NDVI fall"
cotton,Boll Opening & Maturity,Cercospora Leaf Spot,Fungus,Humidity + rains,Premature defoliation,Reduced carbohydrate supply delays boll cracking,Timely sprays,"RH >85%, canopy thinning"
cotton,Boll Opening & Maturity,Grey Mold (Botrytis),Fungus,"Cool, humid conditions",Gray fuzzy mold on open lint,Lint exposed + cool moisture ideal for rot,"Improve aeration, avoid late irrigation",Low temp + RH spikes
cotton,Boll Opening & Maturity,Pink Bollworm (Late Damage),Pest (Lepidoptera),"Warm, dry conditions",Damaged seeds inside open bolls,Late larvae feeding reduces seed quality,Timely sprays before opening,"PBW trap catch, seed damage %"
cotton,Boll Opening & Maturity,Whitefly (Sooty Mold Development),Pest ? Fungi (Capnodium),Dry weather with honeydew production,Black sooty mold on lint,Whiteflies secrete honeydew ? mold grows on lint,Whitefly control before maturity,"Honeydew deposition %, whitefly count"
cotton,Boll Opening & Maturity,Aphids (Honeydew ? Lint Staining),Pest,"Cool, humid weather","Sticky lint, black fungal growth",Honeydew encourages fungal staining,Early aphid control,Aphid count per leaf
cotton,Boll Opening & Maturity,Spider Mites,Pest,"Hot, dry weather","Leaf bronzing, premature leaf drop",Stress reduces boll maturity & fiber filling,"Adequate irrigation, acaricides","Mite count, dryness index"
cotton,Boll Opening & Maturity,Fusarium/Verticillium Wilts (Late Expression),Fungal,Soil temp fluctuations,Wilting branches with unopen bolls,Vascular blockage ? delayed maturity,Resistant varieties,NDVI and moisture stress indicators
cotton,Harvest,"Fungal Staining (Aspergillus, Penicillium)",Fungus,"High humidity, dew, late rains",Yellow/brown stains on lint; musty odor,Open lint absorbs moisture ? fungal colonization,Harvest during dry spells; avoid picking wet cotton,"Lint moisture %, rainy day count, RH >85%"
cotton,Harvest,Sooty Mold (Honeydew-related),Secondary Fungi (Capnodium),Dry weather + honeydew from whiteflies/aphids,Black coating on lint surface ? grade reduction,Honeydew acts as substrate for mold,Control whitefly/aphid before harvest; timely picking,"Honeydew index, pest count per leaf"
cotton,Harvest,Boll Rot (Residual),Bacteria + Fungi,High humidity; late-season rains,"Rotten bolls, discolored lint, premature boll breakage",Open bolls + retained moisture increase infection,"Avoid late irrigation, improve field drainage","Rotten boll %, rainfall frequency"
cotton,Harvest,Grey Mold (Botrytis),Fungus,"Cool, humid weather",Grey fuzzy fungal growth on exposed lint,Damp lint encourages fungal sporulation,Dry harvest timing; avoid late irrigation,"RH >85%, leaf wetness duration"
cotton,Harvest,Pink Bollworm (Late feeding),Pest,"Warm, dry climate","Seeds damaged, lint stuck, lower quality",Larvae remain inside tight bolls until harvest,Destroy crop residue; pheromone traps,"Seed damage %, trap catches"
cotton,Harvest,Whitefly (Lint contamination),Pest,"Warm, dry weather","Lint dullness, sticky touch, ginning problems",Honeydew causes stickiness ? lint staining,Vector control before harvest,"Whitefly >5/leaf, honeydew scoring"
cotton,Harvest,Aphids (Sticky cotton),Pest,"Cool, humid weather",Sticky cotton ? fungal staining risk increases,Honeydew leads to secondary fungal growth,Pest management before maturity,Aphid count per leaf
cotton,Harvest,Spider Mites (Indirect),Pest,"Hot, dry climate",Bronzed leaves ? incomplete boll maturation,Reduced photosynthesis ? immature lint,Manage mites earlier; maintain moisture,"Mite count, dryness index"
cotton,Harvest,Trash & Bark Contamination,Physical contamination,"Wind, dry leaves, machine harvest issues","Bark fragments, leaf trash mixed with lint",Dry plant parts detach easily at harvest,"Clean picking, manual sorting, avoid over-dry harvest","Trash % in sample, foreign matter index"
cotton,Harvest,Rain Damage / Weathering,Weather-induced,"Continuous rain, cloudy humid days","Lint dulling, sprouting in bolls, fiber weakening",Open bolls highly sensitive to moisture,Harvest early; avoid delays during rainy spells,"Rainfall events, boll moisture %, color grade shifts"
,,,,,,,,
Crop,,,,,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
wheat,Seed Treatment & Sowing,Fusarium Seed Rot,Fungus,Cool wet soils,Poor germination seed decay,Seeds treated improperly or stored in humid conditions,Use fungicide seed treatment proper storage,Seed vigor tests germination rates
wheat,Seed Treatment & Sowing,Alternaria Seed Spot,Fungus,High humidity warm storage,Black spots on seed coat,Seeds exposed to moisture during storage,Seed treatment proper drying,Visual seed inspection
wheat,Seed Treatment & Sowing,Common Bunt,Fungus,Cool moist conditions,Seed-borne infection spores,Contaminated seed or spore-infested soil,Certified seed treatment with fungicides,Seed source verification
wheat,Germination,Fusarium Seedling Blight,Fungus,Cool wet soils high humidity,Poor germination seed rot weak seedlings,Seeds and young roots exposed to soil pathogens,Use certified pathogen-free seeds seed treatment,Soil moisture humidity NDVI early vigor loss
wheat,Germination,Septoria Seedling Blight,Fungus,Cool moist conditions,Lesions on coleoptile poor emergence,Young seedlings highly susceptible,Crop rotation seed treatment avoid high residue,Weather patterns pest count fungal spores
wheat,Germination,Common Root Rot,Fungus,Cool wet soils,Brown black roots stunted seedlings,Roots forming and vulnerable to infection,Seed treatment avoid waterlogged soils,Soil moisture root health indicators
wheat,Germination,Black Point Alternaria,Fungus,High humidity moderate temperatures,Black discoloration on seeds poor vigor,Seed surface exposed to spores,Use clean disease-free seed seed treatment,Humidity seed inspection
wheat,Germination,Aspergillus Seed Rot,Fungus,Warm humid conditions,Seed decay reduced germination,Seeds metabolically active prone to rot,Dry storage seed treatment avoid high humidity,Humidity seed quality tests
wheat,Germination,Wheat Bulb Fly Infestation,Pest,Cool moist soils,Seedlings fail to emerge holes in roots,Emerging roots attract pests,Seed treatment cultural control,Pest count soil inspection
wheat,Germination,Wheat Streak Mosaic Virus,Virus,Warm dry conditions,Stunted growth mottling poor emergence,Young plants vulnerable to vector feeding,Control volunteer cereals use resistant varieties,Pest count mites weather patterns
wheat,Emergence,Seedling Blight,Fungus,Cool wet soil high humidity,Discolored water-soaked lesions on coleoptile,Young seedlings highly susceptible to soil-borne fungi,Use certified disease-free seeds treat with fungicides,Soil temperature soil moisture NDVI drop emergence delay
wheat,Emergence,Damping-off,Fungus,Cool wet soil poor drainage,Seedlings collapse at soil line stem base water-soaked,Hypocotyl and root tissues tender easily invaded,Ensure proper seedbed preparation use fungicide,Soil moisture emergence rate plant loss humidity
wheat,Emergence,Pythium Root Rot,Fungus,Cool wet soil high humidity,Seed decay weak seedlings root rot,Seeds and roots highly susceptible,Seed treatment avoid waterlogged soils,Soil moisture NDVI change seedling vigor
wheat,Emergence,Powdery Mildew,Fungus,Cool mild temperatures high humidity,White powdery spots on leaves,Young leaves more susceptible dense seedlings,Plant in well-drained ventilated fields,Leaf spot appearance humidity NDVI canopy
wheat,Emergence,Root Rot,Fungus,Cool wet soil poor drainage,Roots appear brown mushy plants may wilt,Immature root system easily damaged,Use healthy seed treat with fungicides,Soil moisture root symptoms plant vigor NDVI
wheat,Tillering,Fusarium Head Blight,Fungus,High humidity moderate temperatures,Pale water-soaked lesions on stems and leaves,Young tillers tender and susceptible,Use resistant varieties avoid excessive nitrogen,NDVI drop increased humidity moderate temperatures
wheat,Tillering,Leaf Rust,Fungus,Warm humid weather,Small reddish-brown pustules on leaves,Rapid leaf growth provides infection sites,Fungicide application crop rotation,NDVI change humidity spikes visible pustules
wheat,Tillering,Septoria Tritici Blotch,Fungus,Cool wet conditions,Small dark brown spots with yellow halos,Young leaves more susceptible,Remove crop residues timely fungicide,NDVI decline wet weather leaf spots
wheat,Tillering,Powdery Mildew,Fungus,High humidity moderate temperatures,White powdery growth on leaves,Dense canopy in tillering stage traps moisture,Proper spacing fungicide use,NDVI drop visible powdery growth humidity
wheat,Tillering,Bacterial Leaf Blight,Bacteria,Warm wet conditions,Water-soaked angular lesions on leaves,Young tissue more prone to infection,Avoid overhead irrigation crop rotation,NDVI decline leaf lesions wet weather
wheat,Stem Elongation & Jointing,Stem Rust,Fungus,Warm moist weather,Elongated reddish-brown pustules on stems,Rapid stem growth increases susceptibility,Use resistant varieties apply fungicides,NDVI drop humidity spikes rust spores
wheat,Stem Elongation & Jointing,Stripe Rust,Fungus,Cool wet conditions,Yellow stripe-like lesions on leaves stems,Young tissue highly vulnerable,Resistant cultivars timely fungicide,NDVI change humidity temperature spore counts
wheat,Stem Elongation & Jointing,Septoria Nodorum Blotch,Fungus,Cool humid weather,Brown lesions with yellow halos on leaves,Infection spreads to upper leaves,Crop rotation fungicide application,Lesion count humidity NDVI weather
wheat,Stem Elongation & Jointing,Powdery Mildew,Fungus,High humidity moderate temperatures,White powdery patches on leaves,Dense canopy favors infection,Proper spacing fungicide use,NDVI drop visible powdery growth
wheat,Stem Elongation & Jointing,Leaf Rust,Fungus,Warm humid weather,Orange-brown pustules on leaves,Active leaf growth provides sites,Fungicide application resistant varieties,NDVI change humidity pustules visible
wheat,Stem Elongation & Jointing,Take-all,Fungus,Cool poorly drained soils,Chlorotic flecks brown lesions root rot,Root and stem stress increases,Crop rotation soil fertility management,Root symptoms soil moisture NDVI
wheat,Stem Elongation & Jointing,Hessian Fly,Pest,Cool moist spring conditions,Stunted plants dead hearts,Larvae attack developing stems,Timely planting resistant varieties,Larval count stunted plants dead hearts
wheat,Stem Elongation & Jointing,Frit Fly,Pest,Warm conditions,Stunted growth plant death,Larvae damage growing points,Insecticide application resistant varieties,Pest counts stunted plants
wheat,Booting,Fusarium Head Blight,Fungus,Warm humid weather rainfall,Bleached spikelets pinkish mold,Booting stage exposes spike to infection,Use resistant varieties fungicide spray,High humidity NDVI drop spike discoloration
wheat,Booting,Powdery Mildew,Fungus,Cool moist shaded conditions,White powdery spots on leaves,Dense canopy favors spore spread,Crop rotation fungicide application,Leaf spotting high humidity NDVI change
wheat,Heading,Fusarium Head Blight,Fungus,Warm humid wet during heading,Bleached or prematurely ripened heads shriveled kernels,Heads are exposed and receptive to spores,Fungicide at heading crop rotation resistant varieties,NDVI drop humidity spikes weather forecast
wheat,Heading,Wheat Blast,Fungus,Warm high humidity rain dew,Premature bleaching of heads no grain production,Head vulnerable to infection during heading,Fungicide before rain dew resistant varieties,Weather forecast NDVI pest count humidity
wheat,Heading,Septoria Tritici Blotch,Fungus,Cool wet prolonged leaf wetness,Chlorotic flecks brown lesions on leaves,Flag leaf critical for grain fill,Resistant cultivars fungicide crop rotation,NDVI change leaf wetness humidity
wheat,Heading,Glume Blotch,Fungus,Cool wet weather,Brown lesions on glumes,Glumes exposed become vulnerable,Resistant varieties fungicide,Lesions visible on glumes humidity
wheat,Heading,Rusts Stripe Leaf Stem,Fungus,Varies by rust type moist temperatures,Rust-colored pustules on leaves stems,Tissue actively growing vulnerable,Resistant varieties fungicide,NDVI drop leaf symptoms weather
wheat,Heading,Bacterial Leaf Streak,Bacteria,Warm wet weather,Water-soaked streaks on leaves,Moisture favors bacterial spread,Resistant varieties avoid overhead irrigation,Leaf streaks visible humidity high
wheat,Heading,Take-all,Fungus,Cool poorly drained soils,Bleached heads shriveled kernels,Root stress affects head development,Crop rotation balanced fertility,Root symptoms soil moisture NDVI
wheat,Flowering,Fusarium Head Blight Scab,Fungus,Warm humid conditions rain or dew,Bleached or partially bleached heads shriveled kernels,Flowers exposed and receptive to spores,Use resistant varieties fungicide at flowering,NDVI drop high humidity rainfall visible mycelium
wheat,Flowering,Wheat Blast,Fungus,Warm high humidity rain dew,Premature bleaching of heads no grain production,Head vulnerable to infection,Fungicide before rain dew resistant varieties,Weather forecast NDVI pest count humidity
wheat,Flowering,Septoria Tritici Blotch,Fungus,Cool wet prolonged leaf wetness,Brown rectangular lesions on leaves,Flag leaf critical for grain fill,Crop rotation fungicide application,Lesions on flag leaves NDVI drop leaf wetness
wheat,Grain Filling,Fusarium Head Blight Scab,Fungus,Warm humid conditions rain or dew,Bleached heads shriveled kernels mycelium,Grains exposed and filling entry points,Use resistant varieties timely harvest avoid late N,NDVI drop high humidity rainfall before maturity
wheat,Grain Filling,Septoria Tritici Blotch,Fungus,Cool wet weather leaf wetness,Brown rectangular lesions on leaves,Leaves remain active and susceptible,Crop rotation fungicide application resistant varieties,Lesions on flag leaves NDVI drop leaf wetness
wheat,Grain Filling,Tan Spot,Fungus,Warm moist weather prolonged leaf wetness,Tan oval lesions with yellow margins on leaves,Flag leaf and upper leaves critical for fill,Crop rotation residue management timely fungicide,Lesions on upper leaves NDVI decline
wheat,Grain Filling,Stripe Rust Yellow Rust,Fungus,Cool moist weather high humidity,Bright yellow powdery pustules in stripes,Late-stage infections reduce photosynthesis,Use resistant varieties fungicide application,Yellow pustules on leaves NDVI drop humidity
wheat,Grain Filling,Common Root Rot,Fungus,Warm moist soil poor drainage,Brown to black lesions at base of stems,Roots stressed as plant diverts resources,Crop rotation improved drainage avoid waterlogging,Stunted plants brown black roots shriveled kernels
wheat,Grain Filling,Black Point Alternaria,Fungus,High humidity warm conditions,Black discoloration on kernels,Seeds developing exposed to spores,Resistant varieties residue management,Visual kernel inspection humidity high
wheat,Grain Filling,Ergot,Fungus,Cool moist conditions,Purple ergot bodies in heads,Fungus replacing grains,Sanitation remove infected heads,Visual inspection purple bodies in heads
